S/N,NAME OF THE PS ,CR NO,DATE OF REPORT,SEC OF LAW,CRIME HEAD,ROAD TYPE,DATE OF OCCURRENCE,TIME OF OCCURRENCE,PLACE OF OCCURRENCE ,PLACE OF OCCURRENCE RURAL V/R URBAN,"ROAD TYPE 
(NH, SH, DR TOWN, VILLAGE ROAD)",VICTIM  VEHICLE,ACCUSED VEHICLE,DEATHS: MALE AGES,DEATHS FEMALE AGES,GREVIOUS INJURED: MALE AGES,GREVIOUS INJURED: FEMALE AGES,"SIMPLE INJURED : MALE AGES
","SIMPLE INJURED : FEMALE AGES
",IF PEDESTRIAN AGE : MALE AGE,IF PEDESTRIAN AGE : FEMALE AGE,MALE ACCUSED AGE,FEMALE ACCUSED AGE,DRIVING LICENCE       (YES V/R NO V/R NOT KNOWN),INSURANCE   (YES V/R NO V/R NOT KNOWN),WEATHER CONDITION
12,Kolar Rural PS,0023/2024,16-01-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-01-2024,05:45,KENDATTI GATE,RURAL,NH,BUS,BUS,,,,,23/25/29/24/20,19/24/20/21/23,,,36,,YES,YES,GOOD
13,Kolar Rural PS,0026/2024,17-01-2024,"IPC 1860 U/s: 279,304(A)",MOTV/R VEHICLE ACCIDENTS FATAL,National Highways,16-01-2024,18:30,AMMERAHALLI KERE NEAR,RURAL,V/R,-,T/W,36,,,,,,36,,28,,YES,NO,GOOD
14,Kolar Rural PS,0028/2024,17-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16-12-2023,18:15,SEEPURA GATE,RURAL,SH,T/W,CAE,,,,,24,,,,30,,YES,YES,GOOD
15,Kolar Rural PS,0029/2024,18-01-2024,"IPC 1860 U/s: 279,338 INDIAN MOTV/R VEHICLES ACT, 1988 U/s: 177",MOTV/R VEHICLE ACCIDENTS NON-FATAL,State Highways,17-01-2024,17:15,SETTIMADAMANGALA ,RURAL,V/R,T/W,GOODS,,,,,35,,,,46,,YES,YES,GOOD
16,Kolar Rural PS,0036/2024,21-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,21-01-2024,12:30,ARAHALLI,RURAL,SH,T/W,CAR,45/41,,,,,,,,36,,YES,YES,GOOD
17,Kolar Rural PS,0038/2024,22-01-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,21-01-2024,17:30,AJJAPANAHALLI GATE ,RURAL,NH,T/W,T/W,,,,,51,,,,37,,YES,YES,GOOD
18,Kolar Rural PS,0039/2024,22-01-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,20-01-2024,21:00,MUDUVADI KARE,RURAL,SH,EAICHER,EAICHER,,,,,39,,,,43,,YES,YES,GOOD
19,Kolar Rural PS,0040/2024,22-01-2024,"IPC 1860 U/s: 279,337",MOTV/R VEHICLE ACCIDENTS NON-FATAL,National Highways,22-01-2024,11:00,BHATRAHALLI,RURAL,V/R,T/W,BUS,,,,,30,,,,41,,YES,YES,GOOD
20,Kolar Rural PS,0041/2024,23-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,22-01-2024,20:30,NAGALAPURA GATE ,RURAL,NH,T/W,LORRY,30,,,,,,,,48,,YES,YES,GOOD
21,Kolar Rural PS,0047/2024,30-01-2024,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,30-01-2024,09:45,KONDARAJANAHALLI ,RURAL,NH,CAR,CAR,,,,,,,,,35,,YES,YES,GOOD
22,Kolar Traffic PS,0001/2024,03-01-2024,"IPC 1860 U/s: 337,279",MOTV/R VEHICLE ACCIDENTS NON-FATAL,Other Roads,01-02-2024,08:45,"SANTHE GATE NEAR KSRTC ,BUS STAND",URBAN,V/R,PEDASTRIAN, T/W,,,,,45,,,,28,,YES,YES,GOOD
23,Kolar Traffic PS,0002/2024,06-01-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,01-06-2024,13:15,NEAR R.L.JALAPPA HOSPITAIL,URBAN,NH, T/W,AUTO,,,,,47,,,,,,,,GOOD
24,Kolar Traffic PS,0003/2024,09-01-2024,"IPC 1860 U/s: 304(A),337,279",MOTV/R VEHICLE ACCIDENTS FATAL,Other Roads,01-09-2024,11:00,MEKKE CIRCLE,URBAN,V/R,PEDASTRIAN,BUS,,55,,,60,,,,27,,YES,YES,GOOD
25,Kolar Traffic PS,0004/2024,09-01-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-07-2024,06:00,ROYAL ENFEILD SHOW ROOM KOLAR,URBAN,NH, T/W,CAR,,,,,65,,,,25,,YES,YES,GOOD
26,Kolar Traffic PS,0005/2024,17-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,17-01-2024,10:50,KOLARMMA KERE KODI  KOLAR,URBAN,NH, T/W,CAR,,,,,24,,,,24,,YES,YES,GOOD
27,Kolar Traffic PS,0006/2024,25-01-2024,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,24-01-2024,21:00,NEAR NARASIMHASWAMY TEMPALE,URBAN,MDR,PEDASTRIAN,TEMPO,55,,,,,,,,24,,YES,YES,GOOD
28,Kolar Traffic PS,0007/2024,25-01-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187,177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,25-01-2024,15:00,SDC COLLAGE KOLAR,URBAN,NH, T/W,UNKNOW T/W,,,,,45,,,,,,,,GOOD
29,Kolar Traffic PS,0008/2024,29-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,22-01-2024,18:00,MEKKE CIRCLE KOLAR,URBAN,MDR, T/W,T/W,73,,,,,,,,,,,,GOOD
30,Kolar Traffic PS,0009/2024,29-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,29-01-2024,08:30,NEAR BETHAMANGALA  BRIDGE ,URBAN,NH, T/W,T/W,,,,,34,,,,43,,YES,YES,GOOD
31,Kolar Traffic PS,0010/2024,31-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,31-01-2024,09:30,NEAR GADHEKANNUR CROSS,URBAN,NH,PEDASTRIAN,T/W,,75,,,,,,,36,,YES,YES,GOOD
32,Malur PS,0001/2024,02-01-2024,"IPC 1860 U/s: 279,338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,28-12-2023,16:00,Mangapura sonnapanahatti village,RURAL,V/R,,car,,,20     23,,,,        ,,23,,YES,YES,GOOD
33,Malur PS,0005/2024,08-01-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187 IPC 1860 U/s: 338",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,29-12-2023,13:00,Malur devanagundi road marasandra gate malur taluk,RURAL,V/R,T/W,GOODS,,,,,26,,,,35,,YES,YES,GOOD
34,Malur PS,0009/2024,14-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,13-01-2024,17:00,Krishnasing home dommarahalli jakksandra malur taluk,RURAL,V/R,T/W,Tractor,14,,,,,,,,38,,YES,YES,GOOD
35,Malur PS,0011/2024,16-01-2024,"IPC 1860 U/s: 304A,279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,15-01-2024,09:35,Tekal malur road malur taluk,RURAL,V/R,TW,T/W,,,,,26,,,,32,,YES,YES,GOOD
36,Malur PS,0018/2024,26-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,24-01-2024,19:00,Chikkathirupathi tempal near malur taluk,RURAL,MDR,T/W,TATA,,,,,25,,,,32,,YES,YES,COUDY
37,Malur PS,0020/2024,29-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,23-01-2024,10:20,Talakunte school near talakunte village malur taluk,RURAL,V/R,T/W,AUTO,,,,,24,,,,43,,YES,YES,COUDY
38,Masti PS,0001/2024,01-01-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,21-12-2023,08:00,BETTAHALLI GATE,RURAL,SH,T/W,TATA ACE,,,,,40,,,,,,,,GOOD
39,Masti PS,0005/2024,10-01-2024,"IPC 1860 U/s: 337,279 INDIAN MOTV/R VEHICLES ACT, 1988 U/s: 187",MOTV/R VEHICLE ACCIDENTS NON-FATAL,Other Roads,06-01-2024,11-00,K UPPARAHALLI ,RURAL,V/R,-,WATER TANKAR ,,,,,10,,,,,,,,GOOD
40,Masti PS,0011/2024,15-01-2024,"IPC 1860 U/s: 279,337,304(A)",MOTV/R VEHICLE ACCIDENTS NON-FATAL,Other Roads,14-01-2024,20-35,GOPASANDRA ,RURAL,V/R,-,T/W,64,,,,,,,,,,,,GOOD
41,Mulbagal Rural PS,0002/2024,05-01-2024,"IPC 1860 U/s: 279,337",MOTV/R VEHICLE ACCIDENTS NON-FATAL,Other Roads,12-09-2023,18:00,Vommasandra,Rural,V/R,Pedistrain,T/W,,,,,46,,46,,60,,Yes,Yes,Good
42,Mulbagal Rural PS,0003/2024,06-01-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-03-2024,19:30,Kantharaj circle,Rural,NH,T/W,Car,,,,,35,,,,54,,Yes,Yes,Good
43,Mulbagal Rural PS,0004/2024,07-01-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,01-06-2024,19:30,Hanumanahalli,Rural,NH,TW,Car,40,,,,,,,,38,,Yes,Yes,Good
44,Mulbagal Rural PS,0005/2024,08-01-2024,"IPC 1860 U/s: 337,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,01-07-2024,12:20,Jammanahalli,Rural,NH,Pedistrain,Unknown Car,,,,,,65,,,,,Yes,Yes,Good
45,Mulbagal Rural PS,0006/2024,09-01-2024,"IPC 1860 U/s: 279,304A INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,01-08-2024,20:15,Seegenahalli HP Petrol bunk,Rural,NH,TW,Tractor,60,,,,,,,,35,,Yes,Yes,Good
46,Mulbagal Rural PS,0010/2024,17-01-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,16-01-2024,07:15,Kammadatti gate,Rural,NH,Lorry,Car,,,,,22,,,,22,,Yes,Yes,Good
47,Mulbagal Town PS,0005/2024,10-01-2024,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,10-01-2024,08:15,Anand bhavan hotelm near Mulbagal town,URBAN,NH,T/W,TEMPO,23,,,16,,,,,55,,,,GOOD
48,Mulbagal Town PS,0014/2024,20-01-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,19-01-2024,12:50,KE B Circle Mulbagal town,URBAN,TOWN,-,T/W,,,,,,,60,,,,,,GOOD
49,Mulbagal Town PS,0017/2024,29-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,28-01-2024,20:20,Anand bhavan hotelm near Mulbagal town,URBAN,NH,T/W,CAR,,,,,,,,,,,,,GOOD
50,Mulbagal Town PS,0018/2024,31-01-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,02-01-2024,19:00,"Tayaluru cross, mulbagal town",URBAN,NH,T/W,UNKNOWN,,,,,25,,,,,,,,GOOD
51,Nangli PS,0004/2024,05-01-2024,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,05-01-2024,11:20,"Budaderu Gate, ",RURAL,V/R,Auto,KSRTC BUS ,40,35,,,,,,,,,YES,YES,GOOD
52,Nangli PS,0010/2024,19-01-2024,"IPC 1860 U/s: 279,337,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,12/01/2024/,11:20,JSR Toll ,RURAL,NH,TWO WEELER,Eicher,32,,,,,,,,,,YES,YES,GOOD
53,Nangli PS,0011/2024,19-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,16/01/2024/,12:50,Konanakunte Village,RURAL,V/R,TWO WEELER,CAR,,,,,"26,  30",,,,,,YES,YES,GOOD
54,Nangli PS,0012/2024,22-01-2024,IPC 1860 U/s: 279,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,21-01-2024,17:15,Mittahalli Cross.,RURAL,V/R,Car,-,,,,,,,,,,,YES,YES,GOOD
55,Nangli PS,0013/2024,22-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,29/12/2023/,18:30,Thathikal Gate,RURAL,NH,TVS EX L,-,55,,,,,,,,,,No,,GOOD
56,Nangli PS,0015/2024,28-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,23/01/2024/,04:45,Pethandlahalli Village,Rural,V/R,Pedistrain,Two Wheeler,,,,,0,,"37, 35",,,,YES,YES,GOOD
57,Rayalpad PS,0008/2024,12-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,11-01-2024,16:00,Rayalpad,RURAL,V/R,,,,,,,,,,,,,,,
58,Srinivasapura PS,0001/2024,02-01-2024,"IPC 1860 U/s: 279,337",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,20-12-2023,14:00,NEAR SHEEGAHALLI GATE  STRINIVASAPURA TALUK,RURAL,SH,TWO WHEELER,TWO WHEELER,,,,,50,,,,35,,YES,YES,"GOOD,"
59,Srinivasapura PS,0007/2024,10-01-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,09-01-2024,17:30,NEAR VALAGERANAHALLI VILLAGE SRINIVASAPURA TALUK,RURAL,SH,TWO WHEELER,NOT KNOWN,,,,,50,,,,,,,,"GOOD,"
60,Srinivasapura PS,0008/2024,11-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,11-01-2024,15:30,NEAR PANASAMAKALAHALLI VILLAGE GATE SRINIVASAPURA TALUK,RURAL,V/R,TWO WHEELER,TWO WHEELER,,,,,40,,,,38,,YES,YES,"GOOD,"
61,Srinivasapura PS,0014/2024,16-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,15-01-2024,16:30,NEAR ROJARNAHALLI GATE SRINIVASAPURA TALUK,RURAL,SH,TWO WHEELER,CAR,,,,,65,,,,45,,YES,YES,"GOOD,"
62,Srinivasapura PS,0015/2024,16-01-2024,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,16-01-2024,20:00,YADARURU VILLAGE SRINIVASAPURA TALUK,RURAL,SH,,CAR,80,,,,30,,,,,,,,"GOOD,"
63,Srinivasapura PS,0016/2024,17-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,17-01-2024,11:30,NEAR RONUR CROSS SRINIVASAPURA TALUK,RURAL,SH,TWO WHEELER,CAR,,,,,55,,,,,,,,"GOOD,"
64,Srinivasapura PS,0017/2024,18-01-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-01-2024,19:00,NERA MEESAGANAHALLI VILLAGE GATE SRINIVASAPURA TALUK,RURAL,SH,,TWO WHEELER,,,,,,,51,,,,,,"GOOD,"
65,Srinivasapura PS,0027/2024,25-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,25-01-2024,16:00,NEAR CHANNAIAHGARIPALLI VILLAGE SRINIVASAPURA TALUK,RURAL,V/R,TWO WHEELER,TRACTOR,,,,,40,,,,,,,,"GOOD,"
66,Srinivasapura PS,0030/2024,26-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,26-01-2024,16:30,NEAR ANJANEYA TEMPLE SRINIVASAPURA TOWN,URBAN,SH,CYCLE,TWO WHEELER,,,,,33,,,,,,,,"GOOD,"
67,Srinivasapura PS,0034/2024,30-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,30-01-2024,08:15,MULABAGILU MAIN ROAD SRINIVASAPURA TOWN,URBAN,SH,,EICHER,,,,,,,50,,40,,YES,YES,"GOOD,"
68,Vemagal PS,0002/2024,06-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,01-01-2024,18:30,Near Narasapura Darga,Rural,V/R,KA07EG9571 T/W,KA03KU3007 T/W,,,,,31,,,,28,,Yes,Yes,Good
69,Vemagal PS,0007/2024,20-01-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,10-01-2024,15:00,"Near Sai Urupi Hotel, KC Vallye Drainage",Rural,NH,KA07EG8906 T/W,KA53D6283 Auto Rikshaw,,,22,,,,,,38,,Yes,NO,Good
70,Vemagal PS,0015/2024,28-01-2024,"IPC 1860 U/s: 304(A),279",MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,27-01-2023,15:00,Near Chowdadenahalli gate,Rural,V/R,KA07-EF-4252 T/W,KA07-EF-4252 T/W,28,,,,,,,,28,,Yes,Yes,Good
71,Vemagal PS,0016/2024,30-01-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,29-01-2024,16:30,Kolar-Hcross road Seethi Circle Vemagal,Rural,SH,KA-07W-6686 T/W,KA-05N-8479 Car,,,,,60,,,,52,,Yes,Yes,Good
1,Gownapalli PS,0009/2024,12-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,10-02-2024,13:30,Thadigol Village,RURAL ,SH ,T/W,T/W,,,,,22,,34,,40,,NOT KNOWN,YES ,GOOD 
2,Gownapalli PS,0011/2024,21-02-2024,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,20-02-2024,14:30,near shell petrol bunk Madanapalli to Banglore roa,RURAL ,NH,T/W,CAR,,,,,35,,56,,32,,YES ,YES ,GOOD 
3,Kolar Rural PS,0050/2024,02-02-2024,"IPC 1860 U/s: 279,304(A)",MOTOR VEHICLE ACCIDENTS FATAL,State Highways,02-02-2024,18:30,"Shantiniketana School,Near thotli gate, Chinthamani-Kolar road",RURAL,SH,T/W,MINI BUS,30,,45,,,,,,35,,YES,YES,GOOD
4,Kolar Rural PS,0052/2024,03-02-2024,"IPC 1860 U/s: 338,337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,02-02-2024,17:30,"Nagalapura Junction,kolar-Bengaluru,NH-75 road",RURAL,NH,T/W,CAR,,,23,,,45,,,41,,YES,YES,GOOD
5,Kolar Rural PS,0053/2024,04-02-2024,"IPC 1860 U/s: 279,304(A) INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,03-02-2024,18:00,"Near Nagalapura gate,Bengaluru-Kolar,NH-75 road",RURAL,NH,CAR,UN KNOWN,30,,,,,,,,,,YES,YES,GOOD
6,Kolar Rural PS,0055/2024,04-02-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,04-02-2024,08:30,"Near Arahalli gate,Chinthamani-Kolar Road",RURAL,SH,T/W,T/W,,,,,22,,,,25,,YES,YES,GOOD
7,Kolar Rural PS,0058/2024,05-02-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,05-02-2024,09:50,"Shettimadamangali Village,Chinthamani-Kolar Road",RURAL,SH,PEDESTRIAN,KSRTC BUS,,,,18,,,,18,35/35,,YES,YES,GOOD
8,Kolar Rural PS,0059/2024,06-02-2024,"IPC 1860 U/s: 338,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,05-02-2024,14:00,"Nagalapura gate,Narasapura-Kolar,NH-75 road",RURAL,NH,T/W,BOLERO,,,40,,,,,,28,,YES,YES,GOOD
9,Kolar Rural PS,0062/2024,07-02-2024,"IPC 1860 U/s: 337,279",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,06-02-2024,15:15,"Near D.C office,Kolar-Mulabagilu,N.H-75 road",RURAL,NH,,"TEMPO, CAR, KSRTC BUS",,,,,22/25,22,,,26/43/43,,YES,YES,GOOD
10,Kolar Rural PS,0070/2024,13-02-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,12-02-2024,19:30,"Tambahalli Gtae NH-75 road, Mulabagal -Bengaluru",RURAL,NH,T/W,UN KNOWN,,,,,42,,,,,,YES,YES,GOOD
11,Kolar Rural PS,0073/2024,14-02-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 187",MOTOR VEHICLE ACCIDENTS NON-FATAL,State Highways,13-02-2024,17:15,NEAR SEESANDRA GATE KOLAR-MULABAGAL NH-75 ROAD,RURAL,SH,PEDESTRIAN,UN KNOWN,,,,,35,,,,,,UN KNOWN,UN KNOWN,GOOD
12,Kolar Rural PS,0077/2024,18-02-2024,"IPC 1860 U/s: 279,337 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 177",MOTOR VEHICLE ACCIDENTS NON-FATAL,National Highways,17-02-2024,23:00,"Near Rathna Convention Hall,Mulabagilu-Kolar, NH-75 road",RURAL,NH,,"CAR, APASRTC BUS",,,,,,,,,63/50/,,YES,YES,GOOD
13,Kolar Rural PS,0079/2024,19-02-2024,"IPC 1860 U/s: 304(A),337,279",MOTOR VEHICLE ACCIDENTS FATAL,National Highways,19-02-2024,10:30,"Nagalapura Gate U Turn, Kolar To Bangalore NH-75 Road",RURAL,NH,TRACTOR,BUS,21/26,,,,21/22,,,,27,,YES,YES,GOOD
